year,n_papers,mean_mutual
1975,284238,0.067644
1976,296145,0.066906
1977,314027,0.059087
1978,331948,0.056753
1979,350058,0.058856
1980,376180,0.052499
1981,395264,0.049271
1982,410393,0.048307
1983,433315,0.045703
1984,456698,0.045798
1985,474651,0.043586
1986,501880,0.043285
1987,530586,0.041535
1988,564754,0.041498
1989,594494,0.040764
1990,629556,0.041367
1991,660779,0.041236
1992,692015,0.041607
1993,701877,0.039280
1994,729102,0.041258
1995,765165,0.041294
1996,827398,0.039918
1997,877431,0.040657
1998,937795,0.040596
1999,992635,0.042595
2000,1129775,0.041335
2001,1154740,0.043623
2002,1529025,0.044969
2003,1519275,0.045229
2004,1590410,0.043514
2005,1812677,0.041924
2006,1957812,0.042043
2007,2049130,0.042011
2008,2233649,0.042402
2009,2385054,0.041334
2010,2580548,0.038260
2011,2794520,0.036494
2012,3004029,0.034920
2013,3226488,0.033278
2014,3422857,0.030177
2015,3462145,0.026663
2016,3486844,0.024789
2017,3600353,0.026197
2018,3856952,0.032256
2019,4181187,0.032032
2020,4801762,0.020955
2021,5139447,0.013423
2022,5090180,0.010376
2023,5390813,0.008519
