year,n_papers,mean_mutual
1975,282241,0.068101
1976,294116,0.067317
1977,311787,0.059477
1978,329343,0.057144
1979,347243,0.059313
1980,373296,0.052848
1981,392570,0.049558
1982,407156,0.048618
1983,430316,0.045980
1984,454371,0.045962
1985,472557,0.043734
1986,499577,0.043447
1987,528048,0.041693
1988,562137,0.041639
1989,591763,0.040896
1990,626414,0.041552
1991,657325,0.041412
1992,688445,0.041788
1993,698758,0.039390
1994,725553,0.041426
1995,761734,0.041462
1996,823438,0.040092
1997,873230,0.040836
1998,933977,0.040738
1999,989369,0.042720
2000,1125860,0.041470
2001,1149605,0.043813
2002,1524469,0.045102
2003,1514750,0.045364
2004,1583496,0.043687
2005,1789325,0.042448
2006,1952754,0.042150
2007,2043611,0.042105
2008,2228175,0.042492
2009,2380189,0.041399
2010,2570798,0.038395
2011,2788992,0.036555
2012,2996429,0.035007
2013,3219623,0.033332
2014,3412354,0.030262
2015,3454671,0.026709
2016,3474522,0.024838
2017,3588877,0.026191
2018,3844145,0.032281
2019,4166337,0.032043
2020,4780329,0.020980
2021,5111148,0.013063
2022,5065937,0.010271
2023,5363788,0.008267
