year,n_papers,sum_cited,sum_mutual,rate_pct
1975,282241,3950293,19221,0.486572
1976,294116,4233481,19799,0.467677
1977,311787,4627479,18544,0.400737
1978,329343,4950982,18820,0.380127
1979,347243,5442706,20596,0.378415
1980,373296,5895022,19728,0.334655
1981,392570,6398296,19455,0.304065
1982,407156,6971434,19795,0.283944
1983,430316,7331829,19786,0.269864
1984,454371,7933151,20884,0.263250
1985,472557,8332676,20667,0.248024
1986,499577,8996547,21705,0.241259
1987,528048,9532539,22016,0.230956
1988,562137,10394140,23407,0.225194
1989,591763,11284790,24201,0.214457
1990,626414,12045494,26029,0.216089
1991,657325,13029191,27221,0.208923
1992,688445,14116274,28769,0.203800
1993,698758,14217233,27524,0.193596
1994,725553,15311328,30057,0.196306
1995,761734,16633103,31583,0.189880
1996,823438,18194637,33013,0.181444
1997,873230,19489476,35659,0.182965
1998,933977,21303790,38048,0.178597
1999,989369,23222496,42266,0.182005
2000,1125860,27886320,46689,0.167426
2001,1149605,28484355,50368,0.176827
2002,1524469,34139824,68757,0.201398
2003,1514750,37630202,68715,0.182606
2004,1583496,40239361,69178,0.171916
2005,1789325,46115342,75954,0.164704
2006,1952754,50566890,82308,0.162771
2007,2043611,54976808,86046,0.156513
2008,2228175,60411531,94680,0.156725
2009,2380189,66519298,98538,0.148134
2010,2570798,72857953,98707,0.135479
2011,2788992,81054072,101951,0.125781
2012,2996429,88956270,104895,0.117917
2013,3219623,95574705,107316,0.112285
2014,3412354,103062304,103265,0.100197
2015,3454671,106238941,92270,0.086851
2016,3474522,109310941,86301,0.078950
2017,3588877,115192385,93996,0.081599
2018,3844145,125359609,124091,0.098988
2019,4166337,143250841,133504,0.093196
2020,4780329,169445832,100291,0.059188
2021,5111148,189463552,66768,0.035241
2022,5065937,186397880,52034,0.027916
2023,5363788,195463077,44340,0.022685
