decile,group,n_papers,sum_cited,sum_mutual,rate_pct
1,diverse,1608854,6825389.0,12949.0,0.18971812449077993
1,non-diverse,5915230,23155966.0,50423.0,0.21775381774182948
2,diverse,3657017,27722650.0,48201.0,0.17386865974212423
2,non-diverse,5164117,38102145.0,68721.0,0.18035992461841716
3,diverse,3131718,34461136.0,56818.0,0.16487558622559628
3,non-diverse,2855850,31205588.0,49759.0,0.15945541548520092
4,diverse,5262896,78911545.0,124189.0,0.15737747879603675
4,non-diverse,3364026,49941092.0,74028.0,0.14823063941012743
5,diverse,5067991,101259492.0,150409.0,0.14853817358672902
5,non-diverse,2328887,46267184.0,61565.0,0.133064074096232
6,diverse,5659407,144077441.0,202293.0,0.14040574193707397
6,non-diverse,1937847,49052796.0,59009.0,0.1202969143695703
7,diverse,6696409,216842347.0,271992.0,0.12543306404998467
7,non-diverse,1627938,52276907.0,56089.0,0.10729211657453261
8,diverse,6600210,272218300.0,294212.0,0.1080794347771623
8,non-diverse,1036350,42358716.0,43151.0,0.10187041552439881
9,diverse,7122079,387029933.0,367912.0,0.09506034769667286
9,non-diverse,684554,36647356.0,35034.0,0.09559761964819509
10,diverse,7335366,823184328.0,583425.0,0.07087416270636289
10,non-diverse,344043,30104054.0,27374.0,0.09093127457185667
