year,n_papers,mean_mutual,mean_diversity
1978,331948,0.028098,3.315929
1979,350058,0.028695,3.336541
1980,376180,0.022731,3.341329
1981,395264,0.019994,3.368230
1982,410393,0.019028,3.390823
1983,433315,0.016731,3.383557
1984,456698,0.015892,3.396522
1985,474651,0.013692,3.387036
1986,501880,0.014587,3.405001
1987,530586,0.011991,3.377302
1988,564754,0.012497,3.372081
1989,594494,0.011770,3.388838
1990,629556,0.013492,3.381825
1991,660779,0.012923,3.388443
1992,692015,0.012690,3.387047
1993,701877,0.011519,3.352503
1994,729102,0.012886,3.377684
1995,765165,0.013154,3.398656
1996,827398,0.012462,3.402628
1997,877431,0.013100,3.399353
1998,937795,0.013501,3.383701
1999,992635,0.015005,3.395310
2000,1129775,0.015235,3.387047
2001,1154740,0.016767,3.402241
2002,1529025,0.015623,3.173452
2003,1519275,0.016969,3.323750
2004,1590410,0.017152,3.344294
2005,1812677,0.016726,3.324605
2006,1957812,0.017252,3.341161
2007,2049130,0.017992,3.401388
2008,2233649,0.018852,3.385442
2009,2385054,0.018929,3.436171
2010,2580548,0.017035,3.444135
2011,2794520,0.016932,3.492993
2012,3004029,0.016541,3.517733
2013,3226488,0.015583,3.522403
2014,3422857,0.013294,3.554899
2015,3462145,0.011191,3.580893
2016,3486844,0.010188,3.599575
2017,3600353,0.012283,3.619915
2018,3856952,0.017762,3.649323
2019,4181187,0.018120,3.738500
2020,4801762,0.009760,3.830124
2021,5139447,0.003959,3.980263
2022,5090180,0.003175,3.974080
2023,5390813,0.002395,3.976165
