year,n_papers,mean_mutual,mean_diversity
1978,331948,0.056753,3.315929
1979,350058,0.058856,3.336541
1980,376180,0.052499,3.341329
1981,395264,0.049271,3.368230
1982,410393,0.048307,3.390823
1983,433315,0.045703,3.383557
1984,456698,0.045798,3.396522
1985,474651,0.043586,3.387036
1986,501880,0.043285,3.405001
1987,530586,0.041535,3.377302
1988,564754,0.041498,3.372081
1989,594494,0.040764,3.388838
1990,629556,0.041367,3.381825
1991,660779,0.041236,3.388443
1992,692015,0.041607,3.387047
1993,701877,0.039280,3.352503
1994,729102,0.041258,3.377684
1995,765165,0.041294,3.398656
1996,827398,0.039918,3.402628
1997,877431,0.040657,3.399353
1998,937795,0.040596,3.383701
1999,992635,0.042595,3.395310
2000,1129775,0.041335,3.387047
2001,1154740,0.043623,3.402241
2002,1529025,0.044969,3.173452
2003,1519275,0.045229,3.323750
2004,1590410,0.043514,3.344294
2005,1812677,0.041924,3.324605
2006,1957812,0.042043,3.341161
2007,2049130,0.042011,3.401388
2008,2233649,0.042402,3.385442
2009,2385054,0.041334,3.436171
2010,2580548,0.038260,3.444135
2011,2794520,0.036494,3.492993
2012,3004029,0.034920,3.517733
2013,3226488,0.033278,3.522403
2014,3422857,0.030177,3.554899
2015,3462145,0.026663,3.580893
2016,3486844,0.024789,3.599575
2017,3600353,0.026197,3.619915
2018,3856952,0.032256,3.649323
2019,4181187,0.032032,3.738500
2020,4801762,0.020955,3.830124
2021,5139447,0.013423,3.980263
2022,5090180,0.010376,3.974080
2023,5390813,0.008519,3.976165
