year,diversity_group,n_papers,sum_cited,sum_mutual,rate_pct
1978,1,73685,253591,452,0.1782
1978,2,66038,520306,698,0.1342
1978,3,60229,717535,1347,0.1877
1978,4,47785,778661,2256,0.2897
1978,5,33505,704567,2352,0.3338
1978,6+,48617,1997522,2213,0.1108
1979,1,77561,272290,575,0.2112
1979,2,68639,557288,918,0.1647
1979,3,63719,781174,2766,0.3541
1979,4,50393,839852,2760,0.3286
1979,5,35380,760285,1393,0.1832
1979,6+,52233,2256616,1629,0.0722
1980,1,82368,302962,555,0.1832
1980,2,74028,608476,701,0.1152
1980,3,68609,857020,1541,0.1798
1980,4,54467,921775,1637,0.1776
1980,5,38468,832303,1836,0.2206
1980,6+,56017,2399849,2272,0.0947
1981,1,85109,322330,540,0.1675
1981,2,77334,656833,697,0.1061
1981,3,71976,925051,1325,0.1432
1981,4,57384,995217,2044,0.2054
1981,5,41211,909436,1478,0.1625
1981,6+,60072,2611032,1811,0.0694
1982,1,88104,341091,588,0.1724
1982,2,79589,689377,840,0.1218
1982,3,74288,971635,1466,0.1509
1982,4,59648,1056201,1709,0.1618
1982,5,42624,962855,1398,0.1452
1982,6+,63963,2980077,1798,0.0603
1983,1,92148,373450,618,0.1655
1983,2,84825,752881,870,0.1156
1983,3,78761,1052953,1261,0.1198
1983,4,63116,1140816,1656,0.1452
1983,5,44827,1037845,1258,0.1212
1983,6+,67226,2998237,1583,0.0528
1984,1,96455,405811,650,0.1602
1984,2,89466,809940,1128,0.1393
1984,3,82636,1125123,1224,0.1088
1984,4,66148,1226273,1478,0.1205
1984,5,47664,1123264,1119,0.0996
1984,6+,71649,3268240,1641,0.0502
1985,1,99228,428846,684,0.1595
1985,2,93808,870789,1077,0.1237
1985,3,86664,1216132,1271,0.1045
1985,4,68992,1305364,1121,0.0859
1985,5,49773,1199115,665,0.0555
1985,6+,73533,3336276,1670,0.0501
1986,1,103327,457783,692,0.1512
1986,2,98967,939950,899,0.0956
1986,3,91530,1306675,1498,0.1146
1986,4,73344,1410763,1769,0.1254
1986,5,52904,1299202,994,0.0765
1986,6+,78874,3605850,1460,0.0405
1987,1,110824,502967,801,0.1593
1987,2,105139,1018936,1082,0.1062
1987,3,96951,1425020,1190,0.0835
1987,4,77653,1533874,1109,0.0723
1987,5,55245,1385263,750,0.0541
1987,6+,81701,3683949,1421,0.0386
1988,1,117857,552652,758,0.1372
1988,2,112857,1110468,1114,0.1003
1988,3,103194,1541223,1278,0.0829
1988,4,82529,1663627,1276,0.0767
1988,5,58836,1509616,830,0.0550
1988,6+,86352,4032133,1786,0.0443
1989,1,121406,598280,896,0.1498
1989,2,119384,1216333,1128,0.0927
1989,3,109636,1695265,1186,0.0700
1989,4,86828,1808662,1154,0.0638
1989,5,62347,1636119,858,0.0524
1989,6+,91805,4348513,1761,0.0405
1990,1,128808,636701,895,0.1406
1990,2,126430,1307959,1315,0.1005
1990,3,116251,1840561,1530,0.0831
1990,4,92791,1960795,1357,0.0692
1990,5,65672,1761263,1036,0.0588
1990,6+,96394,4569327,2356,0.0516
1991,1,132608,691768,998,0.1443
1991,2,133524,1439844,1344,0.0933
1991,3,123081,2008174,1553,0.0773
1991,4,97780,2133829,1374,0.0644
1991,5,69434,1907527,1091,0.0572
1991,6+,100892,4869528,2168,0.0445
1992,1,138950,736849,996,0.1352
1992,2,140234,1546989,1398,0.0904
1992,3,129216,2168427,1505,0.0694
1992,4,102392,2287077,1525,0.0667
1992,5,72522,2025479,1105,0.0546
1992,6+,105323,5370155,2242,0.0417
1993,1,142222,781572,1016,0.1300
1993,2,144455,1645914,1278,0.0776
1993,3,131911,2275316,1392,0.0612
1993,4,103562,2372179,1316,0.0555
1993,5,72484,2072149,1000,0.0483
1993,6+,103612,5091968,2074,0.0407
1994,1,146001,826889,1078,0.1304
1994,2,148656,1746951,1473,0.0843
1994,3,136699,2426371,1637,0.0675
1994,4,108352,2553944,1431,0.0560
1994,5,76097,2225297,1193,0.0536
1994,6+,109898,5554908,2573,0.0463
1995,1,151644,888717,1201,0.1351
1995,2,154935,1869146,1510,0.0808
1995,3,144181,2633344,1675,0.0636
1995,4,114078,2751842,1665,0.0605
1995,5,79926,2383835,1388,0.0582
1995,6+,117084,6122031,2621,0.0428
1996,1,165018,987187,1206,0.1222
1996,2,166921,2069698,1611,0.0778
1996,3,154333,2880919,1854,0.0644
1996,4,121939,2979845,1705,0.0572
1996,5,86602,2611464,1280,0.0490
1996,6+,128733,6679596,2650,0.0397
1997,1,172654,1066499,1386,0.1300
1997,2,177544,2252242,1681,0.0746
1997,3,166294,3191465,1914,0.0600
1997,4,130483,3277517,1792,0.0547
1997,5,91935,2827846,1488,0.0526
1997,6+,134865,6892519,3227,0.0468
1998,1,186616,1178257,1619,0.1374
1998,2,190557,2495255,1968,0.0789
1998,3,178002,3536680,2210,0.0625
1998,4,138829,3601472,2018,0.0560
1998,5,97398,3082999,1586,0.0514
1998,6+,142499,7430459,3250,0.0437
1999,1,193362,1300210,1599,0.1230
1999,2,202783,2754609,2299,0.0835
1999,3,188897,3881000,2785,0.0718
1999,4,148610,3947434,2480,0.0628
1999,5,103539,3349262,1907,0.0569
1999,6+,151350,8010185,3820,0.0477
2000,1,231789,1615056,1777,0.1100
2000,2,229271,3303899,2532,0.0766
2000,3,211112,4552435,3097,0.0680
2000,4,165584,4571223,2924,0.0640
2000,5,114339,3846397,2132,0.0554
2000,6+,173670,10023257,4747,0.0474
2001,1,227467,1598271,2099,0.1313
2001,2,238207,3394400,2814,0.0829
2001,3,219490,4701457,3557,0.0757
2001,4,170022,4673954,3087,0.0660
2001,5,118390,3948198,2628,0.0666
2001,6+,177190,10202399,5175,0.0507
2002,1,342595,2349135,2802,0.1193
2002,2,359932,4688032,3899,0.0832
2002,3,285101,5721443,4579,0.0800
2002,4,202912,5437807,3767,0.0693
2002,5,135038,4496262,2919,0.0649
2002,6+,198334,11483030,5922,0.0516
2003,1,315178,2290157,2693,0.1176
2003,2,332578,4706164,3839,0.0816
2003,3,284581,6147877,4611,0.0750
2003,4,212449,5988836,4180,0.0698
2003,5,146069,5037872,3314,0.0658
2003,6+,222985,13499774,7143,0.0529
2004,1,333323,2491856,3005,0.1206
2004,2,338198,4987069,3744,0.0751
2004,3,295793,6570736,4800,0.0731
2004,4,223003,6403216,4377,0.0684
2004,5,154308,5393075,3582,0.0664
2004,6+,239888,14443906,7770,0.0538
2005,1,392244,2869311,3256,0.1135
2005,2,385897,5651768,4381,0.0775
2005,3,333478,7389703,5118,0.0693
2005,4,250055,7222342,4773,0.0661
2005,5,172365,6128454,3850,0.0628
2005,6+,272257,16923483,8930,0.0528
2006,1,419015,3247960,3488,0.1074
2006,2,418701,6354876,4675,0.0736
2006,3,356817,8120167,5556,0.0684
2006,4,269175,7922524,5370,0.0678
2006,5,188685,6819609,4705,0.0690
2006,6+,299287,18149893,9982,0.0550
2007,1,420602,3405960,3437,0.1009
2007,2,431364,6728358,4981,0.0740
2007,3,374261,8692922,5977,0.0688
2007,4,285750,8609838,5950,0.0691
2007,5,202616,7459464,5015,0.0672
2007,6+,327821,20152704,11502,0.0571
2008,1,472808,3771904,4611,0.1222
2008,2,466000,7387277,5526,0.0748
2008,3,403679,9518963,6817,0.0716
2008,4,308854,9449788,6576,0.0696
2008,5,218455,8197671,5730,0.0699
2008,6+,356717,22155912,12841,0.0580
2009,1,481733,4072416,3778,0.0928
2009,2,500268,7991918,5825,0.0729
2009,3,433142,10278817,7012,0.0682
2009,4,331107,10185910,7100,0.0697
2009,5,236763,8962460,6344,0.0708
2009,6+,394399,25092139,15078,0.0601
2010,1,527396,4440521,3616,0.0814
2010,2,534885,8710384,5687,0.0653
2010,3,462596,11153289,6821,0.0612
2010,4,357691,11203927,6860,0.0612
2010,5,256989,9889012,5973,0.0604
2010,6+,432334,27530733,15002,0.0545
2011,1,548425,4806809,3575,0.0744
2011,2,576997,9455267,5703,0.0603
2011,3,501956,12255029,7327,0.0598
2011,4,389633,12367801,7029,0.0568
2011,5,282628,11006252,6380,0.0580
2011,6+,485343,31251273,17302,0.0554
2012,1,592469,5163642,3631,0.0703
2012,2,608324,10188232,5985,0.0587
2012,3,533052,13186352,7245,0.0549
2012,4,418034,13473120,7680,0.0570
2012,5,306975,12105484,6703,0.0554
2012,6+,534095,34921924,18445,0.0528
2013,1,637894,5589156,3962,0.0709
2013,2,647480,10936351,6264,0.0573
2013,3,569393,14181054,7438,0.0525
2013,4,449209,14574946,7769,0.0533
2013,5,330943,13150722,6977,0.0531
2013,6+,578599,37232136,17865,0.0480
2014,1,664416,5969235,3828,0.0641
2014,2,681259,11675831,5583,0.0478
2014,3,602685,15205236,6831,0.0449
2014,4,477648,15646506,6963,0.0445
2014,5,354803,14220605,6132,0.0431
2014,6+,628846,40454003,16164,0.0400
2015,1,659998,6187181,3521,0.0569
2015,2,684930,12105840,4932,0.0407
2015,3,607925,15728693,5904,0.0375
2015,4,486117,16233766,5672,0.0349
2015,5,362168,14683364,5224,0.0356
2015,6+,648866,41402098,13486,0.0326
2016,1,663325,6339951,3225,0.0509
2016,2,679986,12395115,5135,0.0414
2016,3,609396,16158349,6021,0.0373
2016,4,490331,16728619,5626,0.0336
2016,5,366524,15157228,4717,0.0311
2016,6+,664572,42674021,10769,0.0252
2017,1,681871,6532905,3675,0.0563
2017,2,692348,12822744,5922,0.0462
2017,3,624974,16854729,7369,0.0437
2017,4,505415,17556162,6972,0.0397
2017,5,381319,16038081,5854,0.0365
2017,6+,698637,45560823,14418,0.0316
2018,1,717542,6920000,5045,0.0729
2018,2,739518,13745556,8792,0.0640
2018,3,666277,17985122,10641,0.0592
2018,4,541746,18846466,10657,0.0565
2018,5,411997,17370228,9626,0.0554
2018,6+,762572,50709422,23736,0.0468
2019,1,748366,7332888,4795,0.0654
2019,2,785145,14778383,8926,0.0604
2019,3,713560,19536792,12051,0.0617
2019,4,588312,20710667,13005,0.0628
2019,5,453148,19326328,10704,0.0554
2019,6+,875522,61820211,26257,0.0425
2020,1,822804,8228054,3752,0.0456
2020,2,870022,16752136,5688,0.0340
2020,3,808139,22420195,7189,0.0321
2020,4,680403,24363615,7300,0.0300
2020,5,533435,23089508,6356,0.0275
2020,6+,1068483,75121075,16570,0.0221
2021,1,793685,8647691,1249,0.0144
2021,2,899825,17993897,2518,0.0140
2021,3,857493,24538397,3165,0.0129
2021,4,739279,27058661,2981,0.0110
2021,5,591043,26078173,2647,0.0102
2021,6+,1243445,85998027,7778,0.0090
2022,1,757627,8624063,1058,0.0123
2022,2,894737,18270647,2013,0.0110
2022,3,863272,24962128,2327,0.0093
2022,4,744910,27350356,2325,0.0085
2022,5,598444,26278202,2107,0.0080
2022,6+,1218000,81708472,6327,0.0077
2023,1,809586,8961000,925,0.0103
2023,2,951121,19065071,1540,0.0081
2023,3,912296,25845476,2023,0.0078
2023,4,783409,28250283,2056,0.0073
2023,5,626132,27152758,1761,0.0065
2023,6+,1293809,87116245,4595,0.0053
