year,n_papers,sum_cited,sum_mutual,rate_pct
1978,331948,4975268,18839,0.3787
1979,350058,5471131,20603,0.3766
1980,376180,5925711,19749,0.3333
1981,395264,6423144,19475,0.3032
1982,410393,7004414,19825,0.2830
1983,433315,7359788,19804,0.2691
1984,456698,7962501,20916,0.2627
1985,474651,8360507,20688,0.2474
1986,501880,9024491,21724,0.2407
1987,530586,9554706,22038,0.2307
1988,564754,10414366,23436,0.2250
1989,594494,11307864,24234,0.2143
1990,629556,12081572,26043,0.2156
1991,660779,13055448,27248,0.2087
1992,692015,14139818,28793,0.2036
1993,701877,14244397,27570,0.1935
1994,729102,15339371,30081,0.1961
1995,765165,16653910,31597,0.1897
1996,827398,18214401,33028,0.1813
1997,877431,19513636,35674,0.1828
1998,937795,21331242,38071,0.1785
1999,992635,23249035,42281,0.1819
2000,1129775,27917875,46699,0.1673
2001,1154740,28524259,50373,0.1766
2002,1529025,34183050,68759,0.2011
2003,1519275,37677917,68715,0.1824
2004,1590410,40297908,69205,0.1717
2005,1812677,46193734,75994,0.1645
2006,1957812,50623817,82313,0.1626
2007,2049130,55059528,86087,0.1564
2008,2233649,60491625,94711,0.1566
2009,2385054,66594484,98583,0.1480
2010,2580548,72941384,98731,0.1354
2011,2794520,81156378,101982,0.1257
2012,3004029,89055756,104900,0.1178
2013,3226488,95682942,107372,0.1122
2014,3422857,103191811,103291,0.1001
2015,3462145,106358573,92312,0.0868
2016,3486844,109472444,86434,0.0790
2017,3600353,115387914,94317,0.0817
2018,3856952,125601103,124408,0.0991
2019,4181187,143530530,133933,0.0933
2020,4801762,170001158,100623,0.0592
2021,5139447,190335335,68987,0.0362
2022,5090180,187212637,52817,0.0282
2023,5390813,196411778,45922,0.0234
