decile,group,n_papers,sum_cited,sum_mutual,rate_pct
1,diverse,1882473,8061529,13698,0.1699181383581204
1,non-diverse,15085370,57571100,53338,0.09264717887968095
2,diverse,3956863,29996867,49311,0.16438716749985924
2,non-diverse,6688369,48202202,69947,0.1451116278878712
3,diverse,5689551,68332338,103621,0.15164269661020527
3,non-diverse,5222854,60991186,82091,0.1345948576897652
4,diverse,5686062,96569304,137829,0.14272547723860576
4,non-diverse,3174820,53484899,69590,0.13011149184370713
5,diverse,7544931,173175340,228962,0.13221397457628783
5,non-diverse,2985911,67899025,77250,0.11377188405871808
6,diverse,7838120,238413513,277011,0.11618930341419029
6,non-diverse,2136421,64424856,63251,0.09817794548116646
7,diverse,8093223,317971822,311066,0.09782816541523608
7,non-diverse,1412346,54929574,48913,0.08904674920653854
8,diverse,9229728,483930473,397469,0.08213349275898978
8,non-diverse,947250,48832636,40066,0.08204758801060831
9,diverse,9484746,1021944273,630600,0.06170590869390782
9,non-diverse,455559,38695514,30419,0.07861117958014462
10,diverse,194,970000,425,0.04381443298969072
