decile,group,n_papers,n_with_mutual,share_pct
1,diverse,1882473,11712,0.6221603178372279
1,non-diverse,15085370,45243,0.2999130946075569
2,diverse,3956863,42271,1.0682957686429881
2,non-diverse,6688369,59791,0.893954864033369
3,diverse,5689551,87351,1.5352881097295727
3,non-diverse,5222854,68187,1.305550566797387
4,diverse,5686062,111880,1.9676183622338272
4,non-diverse,3174820,55883,1.7601942787307627
5,diverse,7544931,174809,2.316906542949167
5,non-diverse,2985911,59824,2.0035426374061385
6,diverse,7838120,201221,2.567209994233311
6,non-diverse,2136421,47505,2.223578592421625
7,diverse,8093223,223421,2.7605936473021933
7,non-diverse,1412346,34957,2.475101710204157
8,diverse,9229728,283600,3.072679931629621
8,non-diverse,947250,27918,2.9472684085510688
9,diverse,9484746,390354,4.115597824127288
9,non-diverse,455559,19420,4.262894597626213
10,diverse,194,9,4.639175257731959
