year,diversity_group,n_papers,n_with_mutual,share_pct
1978,1,73685,392,0.5320
1978,2,66038,550,0.8329
1978,3,60229,546,0.9065
1978,4,47785,473,0.9899
1978,5,33505,428,1.2774
1978,6+,48617,727,1.4954
1979,1,77561,496,0.6395
1979,2,68639,548,0.7984
1979,3,63719,608,0.9542
1979,4,50393,613,1.2164
1979,5,35380,394,1.1136
1979,6+,52233,737,1.4110
1980,1,82368,483,0.5864
1980,2,74028,563,0.7605
1980,3,68609,629,0.9168
1980,4,54467,555,1.0190
1980,5,38468,474,1.2322
1980,6+,56017,849,1.5156
1981,1,85109,483,0.5675
1981,2,77334,599,0.7746
1981,3,71976,623,0.8656
1981,4,57384,603,1.0508
1981,5,41211,444,1.0774
1981,6+,60072,881,1.4666
1982,1,88104,506,0.5743
1982,2,79589,622,0.7815
1982,3,74288,707,0.9517
1982,4,59648,687,1.1518
1982,5,42624,482,1.1308
1982,6+,63963,911,1.4243
1983,1,92148,556,0.6034
1983,2,84825,670,0.7899
1983,3,78761,745,0.9459
1983,4,63116,677,1.0726
1983,5,44827,518,1.1556
1983,6+,67226,939,1.3968
1984,1,96455,574,0.5951
1984,2,89466,716,0.8003
1984,3,82636,735,0.8894
1984,4,66148,657,0.9932
1984,5,47664,514,1.0784
1984,6+,71649,974,1.3594
1985,1,99228,628,0.6329
1985,2,93808,769,0.8198
1985,3,86664,752,0.8677
1985,4,68992,697,1.0103
1985,5,49773,516,1.0367
1985,6+,73533,1063,1.4456
1986,1,103327,619,0.5991
1986,2,98967,787,0.7952
1986,3,91530,775,0.8467
1986,4,73344,777,1.0594
1986,5,52904,593,1.1209
1986,6+,78874,1112,1.4098
1987,1,110824,656,0.5919
1987,2,105139,780,0.7419
1987,3,96951,825,0.8509
1987,4,77653,745,0.9594
1987,5,55245,559,1.0119
1987,6+,81701,1058,1.2950
1988,1,117857,668,0.5668
1988,2,112857,820,0.7266
1988,3,103194,877,0.8499
1988,4,82529,835,1.0118
1988,5,58836,670,1.1388
1988,6+,86352,1263,1.4626
1989,1,121406,802,0.6606
1989,2,119384,883,0.7396
1989,3,109636,933,0.8510
1989,4,86828,835,0.9617
1989,5,62347,652,1.0458
1989,6+,91805,1277,1.3910
1990,1,128808,769,0.5970
1990,2,126430,993,0.7854
1990,3,116251,1041,0.8955
1990,4,92791,942,1.0152
1990,5,65672,748,1.1390
1990,6+,96394,1524,1.5810
1991,1,132608,825,0.6221
1991,2,133524,944,0.7070
1991,3,123081,1072,0.8710
1991,4,97780,958,0.9798
1991,5,69434,811,1.1680
1991,6+,100892,1447,1.4342
1992,1,138950,888,0.6391
1992,2,140234,1107,0.7894
1992,3,129216,1125,0.8706
1992,4,102392,1112,1.0860
1992,5,72522,855,1.1790
1992,6+,105323,1664,1.5799
1993,1,142222,922,0.6483
1993,2,144455,1083,0.7497
1993,3,131911,1156,0.8763
1993,4,103562,1086,1.0486
1993,5,72484,795,1.0968
1993,6+,103612,1562,1.5075
1994,1,146001,953,0.6527
1994,2,148656,1232,0.8288
1994,3,136699,1300,0.9510
1994,4,108352,1177,1.0863
1994,5,76097,883,1.1604
1994,6+,109898,1816,1.6524
1995,1,151644,1072,0.7069
1995,2,154935,1264,0.8158
1995,3,144181,1403,0.9731
1995,4,114078,1306,1.1448
1995,5,79926,1038,1.2987
1995,6+,117084,1971,1.6834
1996,1,165018,1082,0.6557
1996,2,166921,1340,0.8028
1996,3,154333,1511,0.9791
1996,4,121939,1358,1.1137
1996,5,86602,1027,1.1859
1996,6+,128733,1995,1.5497
1997,1,172654,1222,0.7078
1997,2,177544,1367,0.7699
1997,3,166294,1582,0.9513
1997,4,130483,1427,1.0936
1997,5,91935,1174,1.2770
1997,6+,134865,2247,1.6661
1998,1,186616,1404,0.7523
1998,2,190557,1586,0.8323
1998,3,178002,1821,1.0230
1998,4,138829,1580,1.1381
1998,5,97398,1216,1.2485
1998,6+,142499,2399,1.6835
