year,diversity_group,n_papers,n_with_mutual,share_pct
1978,1,73685,927,1.2581
1978,2,66038,1655,2.5061
1978,3,60229,1963,3.2592
1978,4,47785,1861,3.8945
1978,5,33505,1702,5.0798
1978,6+,48617,2905,5.9753
1979,1,77561,1088,1.4028
1979,2,68639,1739,2.5335
1979,3,63719,2153,3.3789
1979,4,50393,2184,4.3339
1979,5,35380,1735,4.9039
1979,6+,52233,3180,6.0881
1980,1,82368,1109,1.3464
1980,2,74028,1779,2.4031
1980,3,68609,2316,3.3757
1980,4,54467,2274,4.1750
1980,5,38468,1941,5.0458
1980,6+,56017,3420,6.1053
1981,1,85109,1161,1.3641
1981,2,77334,1927,2.4918
1981,3,71976,2297,3.1913
1981,4,57384,2372,4.1336
1981,5,41211,1972,4.7851
1981,6+,60072,3653,6.0810
1982,1,88104,1155,1.3110
1982,2,79589,1965,2.4689
1982,3,74288,2468,3.3222
1982,4,59648,2511,4.2097
1982,5,42624,2063,4.8400
1982,6+,63963,3853,6.0238
1983,1,92148,1303,1.4140
1983,2,84825,2114,2.4922
1983,3,78761,2620,3.3265
1983,4,63116,2636,4.1764
1983,5,44827,2127,4.7449
1983,6+,67226,3950,5.8757
1984,1,96455,1287,1.3343
1984,2,89466,2235,2.4982
1984,3,82636,2779,3.3629
1984,4,66148,2670,4.0364
1984,5,47664,2278,4.7793
1984,6+,71649,4315,6.0224
1985,1,99228,1440,1.4512
1985,2,93808,2422,2.5819
1985,3,86664,2873,3.3151
1985,4,68992,2770,4.0150
1985,5,49773,2325,4.6712
1985,6+,73533,4438,6.0354
1986,1,103327,1412,1.3665
1986,2,98967,2399,2.4240
1986,3,91530,2894,3.1618
1986,4,73344,2920,3.9812
1986,5,52904,2380,4.4987
1986,6+,78874,4684,5.9386
1987,1,110824,1539,1.3887
1987,2,105139,2529,2.4054
1987,3,96951,3188,3.2883
1987,4,77653,3027,3.8981
1987,5,55245,2578,4.6665
1987,6+,81701,4629,5.6658
1988,1,117857,1650,1.4000
1988,2,112857,2727,2.4163
1988,3,103194,3394,3.2890
1988,4,82529,3159,3.8277
1988,5,58836,2698,4.5856
1988,6+,86352,5108,5.9153
1989,1,121406,1820,1.4991
1989,2,119384,2894,2.4241
1989,3,109636,3565,3.2517
1989,4,86828,3270,3.7661
1989,5,62347,2729,4.3771
1989,6+,91805,5202,5.6664
1990,1,128808,1833,1.4230
1990,2,126430,3121,2.4686
1990,3,116251,3620,3.1140
1990,4,92791,3606,3.8862
1990,5,65672,2845,4.3321
1990,6+,96394,5595,5.8043
1991,1,132608,2008,1.5142
1991,2,133524,3309,2.4782
1991,3,123081,3984,3.2369
1991,4,97780,3686,3.7697
1991,5,69434,3065,4.4143
1991,6+,100892,5559,5.5099
1992,1,138950,2099,1.5106
1992,2,140234,3515,2.5065
1992,3,129216,4069,3.1490
1992,4,102392,3883,3.7923
1992,5,72522,3250,4.4814
1992,6+,105323,6155,5.8439
1993,1,142222,2191,1.5405
1993,2,144455,3506,2.4271
1993,3,131911,4109,3.1150
1993,4,103562,3911,3.7765
1993,5,72484,3130,4.3182
1993,6+,103612,5746,5.5457
1994,1,146001,2271,1.5555
1994,2,148656,3892,2.6181
1994,3,136699,4342,3.1763
1994,4,108352,4078,3.7637
1994,5,76097,3200,4.2052
1994,6+,109898,6229,5.6680
1995,1,151644,2446,1.6130
1995,2,154935,3915,2.5269
1995,3,144181,4727,3.2785
1995,4,114078,4422,3.8763
1995,5,79926,3498,4.3765
1995,6+,117084,6458,5.5157
1996,1,165018,2508,1.5198
1996,2,166921,4047,2.4245
1996,3,154333,4852,3.1439
1996,4,121939,4540,3.7232
1996,5,86602,3540,4.0877
1996,6+,128733,6730,5.2279
1997,1,172654,2680,1.5522
1997,2,177544,4249,2.3932
1997,3,166294,5180,3.1150
1997,4,130483,4723,3.6196
1997,5,91935,3963,4.3107
1997,6+,134865,7406,5.4914
1998,1,186616,2956,1.5840
1998,2,190557,4735,2.4848
1998,3,178002,5596,3.1438
1998,4,138829,5158,3.7154
1998,5,97398,4094,4.2034
1998,6+,142499,7712,5.4120
1999,1,193362,3131,1.6192
1999,2,202783,5013,2.4721
1999,3,188897,6228,3.2970
1999,4,148610,5547,3.7326
1999,5,103539,4420,4.2689
1999,6+,151350,8306,5.4879
2000,1,231789,3390,1.4625
2000,2,229271,5435,2.3706
2000,3,211112,6612,3.1320
2000,4,165584,6157,3.7184
2000,5,114339,4699,4.1097
2000,6+,173670,9239,5.3199
2001,1,227467,3642,1.6011
2001,2,238207,5854,2.4575
2001,3,219490,7138,3.2521
2001,4,170022,6433,3.7836
2001,5,118390,5285,4.4641
2001,6+,177190,9718,5.4845
2002,1,342595,6815,1.9892
2002,2,359932,10281,2.8564
2002,3,285101,9937,3.4854
2002,4,202912,8208,4.0451
