year,n_papers
1975,510868
1976,531237
1977,558290
1978,585112
1979,610948
1980,662730
1981,675499
1982,699081
1983,730975
1984,772878
1985,801185
1986,845685
1987,894752
1988,936992
1989,994676
1990,1072886
1991,1096931
1992,1147989
1993,1194463
1994,1245224
1995,1304476
1996,1381048
1997,1423601
1998,1498588
1999,1550622
2000,1762901
2001,1764317
2002,2182069
2003,2187696
2004,2290867
2005,2517793
2006,2719082
2007,2847228
2008,3059441
2009,3264328
2010,3494240
2011,3720680
2012,3968398
2013,4215327
2014,4386392
2015,4468413
2016,4533728
2017,4704769
2018,4940809
2019,5232951
2020,5822820
2021,5949165
2022,5777570
2023,5972602
