decile,group,n_papers,n_with_mutual,share_pct
1,diverse,1608854,11341.0,0.7049116949083012
1,non-diverse,5915230,43653.0,0.7379763762355817
2,diverse,3657017,41642.0,1.138687624367073
2,non-diverse,5164117,59136.0,1.1451328465253594
3,diverse,3131718,48269.0,1.541294586549619
3,non-diverse,2855850,41994.0,1.4704553810599297
4,diverse,5262896,102819.0,1.9536582140327303
4,non-diverse,3364026,60235.0,1.7905628553405948
5,diverse,5067991,118913.0,2.346353811599113
5,non-diverse,2328887,48482.0,2.0817669556315956
6,diverse,5659407,150822.0,2.664978857325511
6,non-diverse,1937847,45164.0,2.3306277533778466
7,diverse,6696409,195927.0,2.925851751289385
7,non-diverse,1627938,41784.0,2.5666825149360726
8,diverse,6600210,211115.0,3.198610347246527
8,non-diverse,1036350,30429.0,2.9361702127659575
9,diverse,7122079,261276.0,3.668535549802242
9,non-diverse,684554,24285.0,3.547565276077563
10,diverse,7335366,357281.0,4.870663576977618
10,non-diverse,344043,17243.0,5.011873515810524
