year,group,n_papers,sum_cited,sum_mutual,rate_pct
1975,diverse,157563,3353476,16397,0.4890
1975,non-diverse,124712,622857,2825,0.4536
1976,diverse,166430,3581402,16725,0.4670
1976,non-diverse,127729,671551,3082,0.4589
1977,diverse,178152,3925578,15308,0.3900
1977,non-diverse,133775,719872,3243,0.4505
1978,diverse,190136,4198285,15772,0.3757
1978,non-diverse,139723,773897,3057,0.3950
1979,diverse,201725,4637927,17024,0.3671
1979,non-diverse,146200,829578,3575,0.4309
1980,diverse,217561,5010947,16375,0.3268
1980,non-diverse,156396,911438,3364,0.3691
1981,diverse,230643,5440736,15912,0.2925
1981,non-diverse,162443,979163,3553,0.3629
1982,diverse,240523,5970768,16057,0.2689
1982,non-diverse,167693,1030468,3757,0.3646
1983,diverse,253930,6229851,15787,0.2534
1983,non-diverse,176973,1126331,4013,0.3563
1984,diverse,268097,6742900,16521,0.2450
1984,non-diverse,185921,1215751,4377,0.3600
1985,diverse,278962,7056887,15989,0.2266
1985,non-diverse,193036,1299635,4688,0.3607
1986,diverse,296652,7622490,17303,0.2270
1986,non-diverse,202294,1397733,4411,0.3156
1987,diverse,311550,8028106,16979,0.2115
1987,non-diverse,215963,1521903,5048,0.3317
1988,diverse,330911,8746599,18119,0.2072
1988,non-diverse,230714,1663120,5300,0.3187
1989,diverse,350616,9488559,18527,0.1953
1989,non-diverse,240790,1814613,5693,0.3137
1990,diverse,371108,10131946,20085,0.1982
1990,non-diverse,255238,1944660,5953,0.3061
1991,diverse,391187,10919058,20717,0.1897
1991,non-diverse,266132,2131612,6520,0.3059
1992,diverse,409453,11851138,22086,0.1864
1992,non-diverse,279184,2283838,6696,0.2932
1993,diverse,411569,11811612,20863,0.1766
1993,non-diverse,286677,2427486,6697,0.2759
1994,diverse,431046,12760520,22721,0.1781
1994,non-diverse,294657,2573840,7349,0.2855
1995,diverse,455269,13891052,24048,0.1731
1995,non-diverse,306579,2757863,7541,0.2734
1996,diverse,491607,15151824,25132,0.1659
1996,non-diverse,331939,3056885,7890,0.2581
1997,diverse,523577,16189347,27423,0.1694
1997,non-diverse,350198,3318741,8244,0.2484
1998,diverse,556728,17651610,28760,0.1629
1998,non-diverse,377173,3673512,9301,0.2532
1999,diverse,592396,19187881,32242,0.1680
1999,non-diverse,396145,4054819,10035,0.2475
2000,diverse,664705,22993312,35803,0.1557
2000,non-diverse,461060,4918955,10893,0.2214
2001,diverse,685092,23526008,38610,0.1641
2001,non-diverse,465674,4992671,11761,0.2356
2002,diverse,821385,27138542,47958,0.1767
2002,non-diverse,702527,7037167,20801,0.2956
2003,diverse,866084,30674359,51113,0.1666
2003,non-diverse,647756,6996321,17602,0.2516
2004,diverse,912992,32810933,52126,0.1589
2004,non-diverse,671521,7478925,17077,0.2283
2005,diverse,1028155,37663982,57454,0.1525
2005,non-diverse,778141,8521079,18511,0.2172
2006,diverse,1113964,41012193,62993,0.1536
2006,non-diverse,837716,9602836,19320,0.2012
2007,diverse,1190448,44914928,66597,0.1483
2007,non-diverse,851966,10134318,19462,0.1920
2008,diverse,1287705,49322334,73066,0.1481
2008,non-diverse,938808,11159181,21633,0.1939
2009,diverse,1395411,54519326,77437,0.1420
2009,non-diverse,982001,12064334,21121,0.1751
2010,diverse,1509610,59776961,78151,0.1307
2010,non-diverse,1062281,13150905,20576,0.1565
2011,diverse,1659560,66880355,81768,0.1223
2011,non-diverse,1125422,14262076,20208,0.1417
2012,diverse,1792156,73686880,84184,0.1142
2012,non-diverse,1200793,15351874,20716,0.1349
2013,diverse,1928144,79138858,85972,0.1086
2013,non-diverse,1285374,16525507,21396,0.1295
2014,diverse,2063982,85526350,82540,0.0965
2014,non-diverse,1345675,17645066,20747,0.1176
2015,diverse,2105076,88047921,73351,0.0833
2015,non-diverse,1344928,18293021,18953,0.1036
2016,diverse,2130823,90718217,67611,0.0745
2016,non-diverse,1343311,18735066,18764,0.1002
2017,diverse,2210345,96009795,74745,0.0779
2017,non-diverse,1374219,19355649,19530,0.1009
2018,diverse,2382592,104911238,99638,0.0950
2018,non-diverse,1457060,20665556,24679,0.1194
2019,diverse,2630542,121393998,109973,0.0906
2019,non-diverse,1533511,22111271,23783,0.1076
2020,diverse,3090460,144994393,82236,0.0567
2020,non-diverse,1692826,24980190,18323,0.0734
2021,diverse,3431260,163673258,56668,0.0346
2021,non-diverse,1693510,26641588,12218,0.0459
2022,diverse,3424626,160299158,43862,0.0274
2022,non-diverse,1652364,26894710,8852,0.0329
2023,diverse,3615646,168364762,37201,0.0221
2023,non-diverse,1760707,28026071,8328,0.0297
