year,group,n_papers,n_with_mutual,share_pct
1975,diverse,157563,6640,4.2142
1975,non-diverse,124712,1912,1.5331
1976,diverse,166430,7937,4.7690
1976,non-diverse,127729,2359,1.8469
1977,diverse,178152,8588,4.8206
1977,non-diverse,133775,2499,1.8681
1978,diverse,190136,8431,4.4342
1978,non-diverse,139723,2582,1.8479
1979,diverse,201725,9252,4.5864
1979,non-diverse,146200,2827,1.9337
1980,diverse,217561,9951,4.5739
1980,non-diverse,156396,2888,1.8466
1981,diverse,230643,10294,4.4632
1981,non-diverse,162443,3088,1.9010
1982,diverse,240523,10895,4.5297
1982,non-diverse,167693,3120,1.8605
1983,diverse,253930,11333,4.4630
1983,non-diverse,176973,3417,1.9308
1984,diverse,268097,12042,4.4917
1984,non-diverse,185921,3522,1.8944
1985,diverse,278962,12406,4.4472
1985,non-diverse,193036,3862,2.0007
1986,diverse,296652,12878,4.3411
1986,non-diverse,202294,3811,1.8839
1987,diverse,311550,13422,4.3081
1987,non-diverse,215963,4068,1.8837
1988,diverse,330911,14359,4.3392
1988,non-diverse,230714,4377,1.8972
1989,diverse,350616,14766,4.2114
1989,non-diverse,240790,4714,1.9577
1990,diverse,371108,15666,4.2214
1990,non-diverse,255238,4954,1.9409
1991,diverse,391187,16294,4.1653
1991,non-diverse,266132,5317,1.9979
1992,diverse,409453,17357,4.2391
1992,non-diverse,279184,5614,2.0109
1993,diverse,411569,16896,4.1053
1993,non-diverse,286677,5697,1.9873
1994,diverse,431046,17849,4.1409
1994,non-diverse,294657,6163,2.0916
1995,diverse,455269,19105,4.1964
1995,non-diverse,306579,6361,2.0748
1996,diverse,491607,19662,3.9995
1996,non-diverse,331939,6555,1.9748
1997,diverse,523577,21272,4.0628
1997,non-diverse,350198,6929,1.9786
1998,diverse,556728,22560,4.0522
1998,non-diverse,377173,7691,2.0391
1999,diverse,592396,24501,4.1359
1999,non-diverse,396145,8144,2.0558
2000,diverse,664705,26707,4.0179
2000,non-diverse,461060,8825,1.9141
2001,diverse,685092,28574,4.1708
2001,non-diverse,465674,9496,2.0392
2002,diverse,821385,35576,4.3312
2002,non-diverse,702527,17096,2.4335
2003,diverse,866084,37212,4.2966
2003,non-diverse,647756,14253,2.2004
2004,diverse,912992,37924,4.1538
2004,non-diverse,671521,13768,2.0503
2005,diverse,1028155,41927,4.0779
2005,non-diverse,778141,14745,1.8949
2006,diverse,1113964,45062,4.0452
2006,non-diverse,837716,15488,1.8488
2007,diverse,1190448,46859,3.9362
2007,non-diverse,851966,15223,1.7868
2008,diverse,1287705,50467,3.9191
2008,non-diverse,938808,17003,1.8111
2009,diverse,1395411,51893,3.7188
2009,non-diverse,982001,16397,1.6698
2010,diverse,1509610,52957,3.5080
2010,non-diverse,1062281,15939,1.5005
2011,diverse,1659560,55711,3.3570
2011,non-diverse,1125422,15943,1.4166
2012,diverse,1792156,56891,3.1744
2012,non-diverse,1200793,16146,1.3446
2013,diverse,1928144,58198,3.0183
2013,non-diverse,1285374,16640,1.2946
2014,diverse,2063982,57398,2.7809
2014,non-diverse,1345675,16789,1.2476
2015,diverse,2105076,53021,2.5187
2015,non-diverse,1344928,15250,1.1339
2016,diverse,2130823,48304,2.2669
2016,non-diverse,1343311,14710,1.0951
2017,diverse,2210345,52702,2.3843
2017,non-diverse,1374219,15022,1.0931
2018,diverse,2382592,64784,2.7191
2018,non-diverse,1457060,17911,1.2293
2019,diverse,2630542,79832,3.0348
2019,non-diverse,1533511,19027,1.2407
2020,diverse,3090460,61936,2.0041
2020,non-diverse,1692826,14052,0.8301
2021,diverse,3431260,41866,1.2201
2021,non-diverse,1693510,9230,0.5450
2022,diverse,3424626,31939,0.9326
2022,non-diverse,1652364,6829,0.4133
2023,diverse,3615646,27900,0.7716
2023,non-diverse,1760707,6458,0.3668
