year,n_papers_total,n_with_mutual,frac_all_papers
1975,515931,8557,0.016586
1976,536497,10303,0.019204
1977,563935,11091,0.019667
1978,591265,11023,0.018643
1979,617446,12083,0.019569
1980,669573,12849,0.019190
1981,682259,13392,0.019629
1982,706508,14026,0.019853
1983,738334,14754,0.019983
1984,779800,15582,0.019982
1985,807732,16279,0.020154
1986,852710,16699,0.019583
1987,902254,17501,0.019397
1988,944720,18753,0.019850
1989,1002943,19494,0.019437
1990,1082040,20625,0.019061
1991,1106645,21622,0.019538
1992,1158266,22982,0.019842
1993,1204328,22603,0.018768
1994,1256068,24023,0.019126
1995,1315882,25474,0.019359
1996,1393145,26223,0.018823
1997,1437284,28208,0.019626
1998,1512122,30261,0.020012
1999,1564035,32649,0.020875
2000,1777228,35535,0.019995
2001,1780497,38072,0.021383
2002,2197348,52672,0.023971
2003,2202804,51465,0.023363
2004,2310783,51694,0.022371
2005,2553425,56701,0.022206
2006,2737805,60550,0.022116
2007,2866339,62110,0.021669
2008,3079452,67481,0.021913
2009,3285096,68315,0.020795
2010,3519441,68900,0.019577
2011,3744286,71660,0.019138
2012,3993984,73037,0.018287
2013,4241178,74842,0.017647
2014,4417689,74191,0.016794
2015,4501278,68279,0.015169
2016,4568912,63069,0.013804
2017,4742480,67760,0.014288
2018,4981325,82784,0.016619
2019,5276358,99003,0.018764
2020,5876230,76042,0.012941
2021,6011248,51174,0.008513
2022,5853920,38856,0.006638
2023,6031157,34662,0.005747
