year,diversity_group,n_papers,sum_cited,sum_mutual,rate_pct
1975,1,68850,210386,807,0.3836
1975,2,55862,412471,2018,0.4892
1975,3,50539,566341,2488,0.4393
1975,4,39615,609228,3294,0.5407
1975,5,27518,545868,5947,1.0895
1975,6+,39891,1632039,4668,0.2860
1976,1,68513,223715,1094,0.4890
1976,2,59216,447836,1988,0.4439
1976,3,53385,613478,3499,0.5704
1976,4,41890,657745,4077,0.6198
1976,5,28838,587982,3236,0.5504
1976,6+,42317,1722197,5913,0.3433
1977,1,72237,242099,1022,0.4221
1977,2,61538,477773,2221,0.4649
1977,3,56550,666912,4309,0.6461
1977,4,44631,713512,3779,0.5296
1977,5,31262,644094,2924,0.4540
1977,6+,45709,1901060,4296,0.2260
1978,1,73685,253591,1063,0.4192
1978,2,66038,520306,1994,0.3832
1978,3,60229,717535,3026,0.4217
1978,4,47785,778661,3914,0.5027
1978,5,33505,704567,3857,0.5474
1978,6+,48617,1997522,4975,0.2491
1979,1,77561,272290,1261,0.4631
1979,2,68639,557288,2314,0.4152
1979,3,63719,781174,4609,0.5900
1979,4,50393,839852,4611,0.5490
1979,5,35380,760285,2995,0.3939
1979,6+,52233,2256616,4809,0.2131
1980,1,82368,302962,1270,0.4192
1980,2,74028,608476,2094,0.3441
1980,3,68609,857020,3523,0.4111
1980,4,54467,921775,3749,0.4067
1980,5,38468,832303,3611,0.4339
1980,6+,56017,2399849,5492,0.2288
1981,1,85109,322330,1307,0.4055
1981,2,77334,656833,2246,0.3419
1981,3,71976,925051,3267,0.3532
1981,4,57384,995217,4116,0.4136
1981,5,41211,909436,3281,0.3608
1981,6+,60072,2611032,5248,0.2010
1982,1,88104,341091,1342,0.3934
1982,2,79589,689377,2415,0.3503
1982,3,74288,971635,3505,0.3607
1982,4,59648,1056201,3859,0.3654
1982,5,42624,962855,3272,0.3398
1982,6+,63963,2980077,5421,0.1819
1983,1,92148,373450,1476,0.3952
1983,2,84825,752881,2537,0.3370
1983,3,78761,1052953,3434,0.3261
1983,4,63116,1140816,3965,0.3476
1983,5,44827,1037845,3110,0.2997
1983,6+,67226,2998237,5278,0.1760
1984,1,96455,405811,1483,0.3654
1984,2,89466,809940,2894,0.3573
1984,3,82636,1125123,3699,0.3288
1984,4,66148,1226273,3878,0.3162
1984,5,47664,1123264,3171,0.2823
1984,6+,71649,3268240,5773,0.1766
1985,1,99228,428846,1640,0.3824
1985,2,93808,870789,3048,0.3500
1985,3,86664,1216132,3768,0.3098
1985,4,68992,1305364,3582,0.2744
1985,5,49773,1199115,2820,0.2352
1985,6+,73533,3336276,5819,0.1744
1986,1,103327,457783,1655,0.3615
1986,2,98967,939950,2756,0.2932
1986,3,91530,1306675,3974,0.3041
1986,4,73344,1410763,4302,0.3049
1986,5,52904,1299202,3132,0.2411
1986,6+,78874,3605850,5895,0.1635
1987,1,110824,502967,1851,0.3680
1987,2,105139,1018936,3197,0.3138
1987,3,96951,1425020,3986,0.2797
1987,4,77653,1533874,3850,0.2510
1987,5,55245,1385263,3183,0.2298
1987,6+,81701,3683949,5960,0.1618
1988,1,117857,552652,1922,0.3478
1988,2,112857,1110468,3378,0.3042
1988,3,103194,1541223,4258,0.2763
1988,4,82529,1663627,4068,0.2445
1988,5,58836,1509616,3281,0.2173
1988,6+,86352,4032133,6512,0.1615
1989,1,121406,598280,2132,0.3564
1989,2,119384,1216333,3561,0.2928
1989,3,109636,1695265,4442,0.2620
1989,4,86828,1808662,4089,0.2261
1989,5,62347,1636119,3358,0.2052
1989,6+,91805,4348513,6638,0.1526
1990,1,128808,636701,2115,0.3322
1990,2,126430,1307959,3838,0.2934
1990,3,116251,1840561,4592,0.2495
1990,4,92791,1960795,4534,0.2312
1990,5,65672,1761263,3575,0.2030
1990,6+,96394,4569327,7384,0.1616
1991,1,132608,691768,2350,0.3397
1991,2,133524,1439844,4170,0.2896
1991,3,123081,2008174,5045,0.2512
1991,4,97780,2133829,4605,0.2158
1991,5,69434,1907527,3793,0.1988
1991,6+,100892,4869528,7274,0.1494
1992,1,138950,736849,2387,0.3239
1992,2,140234,1546989,4309,0.2785
1992,3,129216,2168427,5106,0.2355
1992,4,102392,2287077,4954,0.2166
1992,5,72522,2025479,4084,0.2016
1992,6+,105323,5370155,7942,0.1479
1993,1,142222,781572,2528,0.3235
1993,2,144455,1645914,4169,0.2533
1993,3,131911,2275316,4994,0.2195
1993,4,103562,2372179,4714,0.1987
1993,5,72484,2072149,3862,0.1864
1993,6+,103612,5091968,7293,0.1432
1994,1,146001,826889,2644,0.3198
1994,2,148656,1746951,4705,0.2693
1994,3,136699,2426371,5385,0.2219
1994,4,108352,2553944,5068,0.1984
1994,5,76097,2225297,4061,0.1825
1994,6+,109898,5554908,8207,0.1477
1995,1,151644,888717,2807,0.3158
1995,2,154935,1869146,4734,0.2533
1995,3,144181,2633344,5757,0.2186
1995,4,114078,2751842,5483,0.1992
1995,5,79926,2383835,4414,0.1852
1995,6+,117084,6122031,8394,0.1371
1996,1,165018,987187,2903,0.2941
1996,2,166921,2069698,4987,0.2410
1996,3,154333,2880919,6000,0.2083
