decile,group,n_papers,sum_cited,sum_mutual,rate_pct
1,diverse,0,0,0.0,0.0000
1,non-diverse,11660320,12489358,28355,0.2270
2,diverse,211907,635721,1300,0.2045
2,non-diverse,11448413,26890069,26187,0.0974
3,diverse,1452900,6369470,10706,0.1681
3,non-diverse,10207420,41167836,39176,0.0952
4,diverse,4120656,30693323,50265,0.1638
4,non-diverse,7539664,52325029,73277,0.1400
5,diverse,6136219,74863577,113083,0.1511
5,non-diverse,5524101,65309419,87737,0.1343
6,diverse,7675728,139938365,195830,0.1399
6,non-diverse,3984591,71655378,90911,0.1269
7,diverse,8681724,223776478,282839,0.1264
7,non-diverse,2978595,75921821,81509,0.1074
8,diverse,9593520,337298181,358097,0.1062
8,non-diverse,2066799,71643401,65934,0.0920
9,diverse,10425691,506528425,430922,0.0851
9,non-diverse,1234628,58842635,49485,0.0841
10,diverse,11080460,1119117564,706587,0.0631
10,non-diverse,579859,46185744,36399,0.0788
