decile,group,n_papers,n_with_mutual,share_pct
1,diverse,0,0,0.0000
1,non-diverse,11660320,28090,0.2409
2,diverse,209717,1077,0.5135
2,non-diverse,11450603,22340,0.1951
3,diverse,1452684,9258,0.6373
3,non-diverse,10207636,33347,0.3267
4,diverse,4123482,43130,1.0460
4,non-diverse,7536838,62620,0.8309
5,diverse,6135544,95173,1.5512
5,non-diverse,5524776,73015,1.3216
6,diverse,7676805,157294,2.0490
6,non-diverse,3983514,72133,1.8108
7,diverse,8680802,210858,2.4290
7,non-diverse,2979517,62537,2.0989
8,diverse,9593877,257083,2.6797
8,non-diverse,2066442,48366,2.3405
9,diverse,10425502,309293,2.9667
9,non-diverse,1234817,34548,2.7978
10,diverse,11080392,443350,4.0012
10,non-diverse,579927,23532,4.0578
